NomePessoa,Empresa,Valor,Data,Categoria
Kathryn Watson,Jarvis-Rodgers,1105.42,2023-09-21,Saúde
Matthew Oneill,Montes Inc,1747.88,2025-01-09,Saúde
James Smith,Solomon-Miller,877.97,2023-08-23,Vestuário
Scott Rogers,Webb-Potts,1735.27,2025-02-18,Outros
Eric Bruce,Morris-Clark,801.14,2025-05-10,Outros
Sarah Williams,Gould-Walker,292.0,2024-06-19,Educação
Alejandro Hawkins,Cross LLC,43.27,2024-06-08,Lazer
Stephanie Lopez,Mcdonald-Boyle,1205.86,2023-06-16,Eletrônicos
Amy Riley,Sims Ltd,1721.25,2023-08-11,Outros
Jennifer Davis,Kelley LLC,1602.52,2024-03-18,Lazer
Spencer Franklin,"Rogers, Krueger and Little",468.54,2023-08-07,Outros
Antonio Nelson,Cameron-Black,755.2,2023-06-18,Vestuário
Terri Davis,Torres-Rivera,339.61,2025-03-24,Educação
Adrian Carpenter,Woods-Munoz,1861.99,2025-01-23,Eletrônicos
Spencer Franklin,"Rogers, Krueger and Little",1884.96,2023-11-11,Transporte
James Hall,Woods-Munoz,412.37,2024-11-22,Alimentação
Tina Schwartz,"Lee, Jackson and Patel",1938.6,2025-03-14,Transporte
Andrea Wallace,Walker and Sons,785.65,2023-12-08,Outros
Vanessa Bowen,Morris-Clark,848.32,2023-10-29,Moradia
Melissa Mcdonald,Williams LLC,650.62,2024-07-23,Saúde
Kathy Velasquez,Morris-Clark,158.99,2024-11-13,Outros
Brian Holder,"Huynh, Black and Barajas",630.09,2023-09-05,Vestuário
Christian Dudley,Fuller-Lopez,1512.79,2024-04-06,Eletrônicos
Wesley Estrada,"Smith, Reed and Figueroa",967.05,2023-11-17,Eletrônicos
Randy Moran,Carrillo Inc,1944.47,2024-04-29,Educação
Eric Alvarado,Torres-Rivera,1574.76,2025-03-30,Transporte
Eric Alvarado,Torres-Rivera,1186.92,2023-09-03,Educação
Kathleen Butler,"Francis, Bell and Foster",707.31,2025-05-05,Educação
Tonya Mcgee,"Medina, Barnes and Greene",1898.61,2025-01-31,Eletrônicos
Jordan Brown,"Newton, Kirk and Collins",808.87,2024-06-20,Eletrônicos
Heather Nelson,"Smith, Guzman and Brown",892.33,2023-08-28,Saúde
Veronica Huber,Jordan-Odom,661.66,2025-06-11,Vestuário
Carlos Ramirez,Davies-Le,629.21,2024-11-24,Vestuário
Kelsey Perez,Simpson-Martin,1260.81,2024-09-16,Moradia
Heather Richards,"Newton, Kirk and Collins",1324.24,2025-04-26,Saúde
Jimmy Wood,Montes Inc,258.48,2024-08-03,Moradia
Samuel Delacruz,"Garcia, Williams and Sullivan",150.1,2024-03-14,Lazer
Curtis Dougherty,"Gomez, Diaz and Williams",551.48,2024-01-25,Alimentação
John Kelly,Torres-Rivera,1677.58,2024-05-31,Saúde
Stephen Jackson,"Johnson, Allison and Acevedo",1257.53,2023-09-27,Transporte
Erin Rush,"Smith, Mckinney and Hoover",345.23,2025-02-19,Moradia
Angela Townsend,Miller-Owens,589.3,2023-07-26,Outros
Scott Dawson,Carrillo Inc,186.26,2024-12-28,Lazer
James Gallegos,Carr LLC,1740.03,2024-12-10,Moradia
Mr. John Marshall,"Bennett, Acevedo and Rogers",1406.18,2023-08-24,Transporte
Rachel Johnson,Sanders LLC,122.74,2023-10-08,Vestuário
Melissa Smith,Oneill-Scott,1542.19,2025-05-04,Saúde
Jacqueline Mclaughlin,"Jacobson, Fritz and Owen",510.82,2025-04-25,Outros
Nicholas Miranda,"Singleton, Brown and Lawrence",845.09,2023-10-27,Saúde
Michael Cordova DDS,Walsh Group,175.36,2024-07-14,Vestuário
Heather Castro,"Cantrell, Martin and Preston",1613.92,2024-11-30,Educação
Erin Rush,"Smith, Mckinney and Hoover",995.0,2023-09-16,Transporte
Jennifer Jones,"Lee, Jackson and Patel",538.85,2025-04-30,Moradia
Russell Doyle,West-Bryant,1217.21,2025-02-24,Transporte
Seth Taylor,Stevenson PLC,1042.74,2024-10-19,Transporte
Natasha Benson,Carrillo Inc,1207.31,2024-02-13,Vestuário
Jeanette Miller,Oneill-Scott,198.88,2024-08-19,Educação
Charles Harding,Lutz-Welch,1164.44,2023-08-16,Transporte
Julie Schultz,Byrd-Smith,793.55,2025-01-20,Alimentação
Dale Reynolds,Swanson and Sons,1297.71,2024-08-15,Moradia
Paul Anderson,Scott-Flowers,926.88,2024-04-28,Outros
Victor Malone,Douglas Inc,1880.99,2023-10-10,Transporte
Brian Holder,"Huynh, Black and Barajas",1817.08,2024-04-28,Educação
Madison Monroe,Simpson-Martin,369.67,2024-10-13,Lazer
Travis Lee,"Francis, Bell and Foster",591.63,2025-05-22,Transporte
Philip Hobbs,"Medina, Barnes and Greene",66.47,2024-02-22,Moradia
Patricia West,Kelley LLC,1782.98,2023-07-13,Lazer
Christine Hernandez,Solomon-Miller,1369.19,2024-10-14,Lazer
Dustin Smith,"Smith, Reed and Figueroa",1931.52,2023-10-02,Saúde
Michael Gibson III,Fuller-Lopez,1569.58,2023-12-09,Lazer
Monica Coleman,"Singleton, Brown and Lawrence",1401.22,2025-01-28,Saúde
Steven Martinez,"Jacobson, Fritz and Owen",1589.35,2023-11-01,Educação
Michael Green,"Smith, Guzman and Brown",1543.91,2024-05-16,Outros
Keith Obrien,Sanders LLC,650.54,2024-01-17,Transporte
Autumn Harris,Mcdaniel-Key,703.59,2024-11-27,Eletrônicos
Wanda Cole,Swanson and Sons,1004.67,2024-09-28,Vestuário
Justin Schwartz,"Nguyen, Frazier and Young",710.09,2023-08-20,Outros
Brian Kirk,Walsh Group,1612.26,2025-04-22,Educação
Jeremy Williams,"Smith, Mckinney and Hoover",1659.08,2024-09-01,Vestuário
Toni Esparza,Gould-Walker,1446.66,2025-04-20,Transporte
Kevin Mcguire,"Francis, Bell and Foster",1247.38,2025-01-29,Eletrônicos
Samuel Barajas,Kelley-Grant,771.57,2024-10-16,Saúde
Donald Oliver,Oneill-Scott,1417.72,2023-08-18,Lazer
David Payne,"Francis, Bell and Foster",1613.74,2024-03-20,Lazer
Julian Lopez PhD,"Francis, Bell and Foster",326.84,2023-12-07,Eletrônicos
Anthony Lopez,Stuart-Camacho,41.7,2024-01-17,Educação
Derrick Skinner DVM,"Lee, Jackson and Patel",627.95,2024-07-19,Outros
Shelly Kelley,Solomon-Miller,1288.19,2024-11-03,Saúde
Samuel Barajas,Kelley-Grant,1124.24,2025-01-25,Eletrônicos
Joshua Montoya,"Fitzpatrick, Jones and Morgan",1240.76,2024-02-11,Vestuário
Eric Jones,"Nguyen, Frazier and Young",195.79,2024-04-07,Transporte
Paul Anderson,Scott-Flowers,534.11,2023-06-18,Lazer
Joseph Gonzalez,"Huynh, Black and Barajas",714.06,2023-12-11,Eletrônicos
James Miller,Lutz-Welch,776.63,2023-09-02,Saúde
Amanda Jackson,"Nguyen, Frazier and Young",1144.51,2023-12-13,Vestuário
Anthony Lopez,Stuart-Camacho,1998.88,2024-12-13,Moradia
Ashley Smith,Byrd-Smith,91.14,2023-10-16,Outros
Jennifer Powers,Scott-Flowers,1338.37,2024-11-10,Saúde
Janet Perez,Young-Fuentes,994.04,2024-02-13,Educação
Michael Hubbard,Jarvis-Rodgers,1751.52,2024-05-26,Moradia
Keith Obrien,Sanders LLC,1624.94,2023-09-20,Eletrônicos
Jason Ramos,Swanson and Sons,600.62,2024-10-27,Alimentação
James Hall,Woods-Munoz,1228.32,2024-03-04,Moradia
Elizabeth Bennett,Mcdaniel-Key,1117.08,2023-10-17,Educação
Sean Trujillo,"Fitzpatrick, Jones and Morgan",380.26,2024-06-21,Outros
Derrick Skinner DVM,"Lee, Jackson and Patel",805.24,2024-03-14,Transporte
